genre,元旦,六月节,复活节,总统日,耶稣受难日,阵亡将士纪念日,马丁·路德·金日
剧情,5,5,2,19,3,20,25
喜剧,16,1,0,0,2,12,2
动作,3,1,0,4,2,14,4
惊悚,4,0,0,11,1,2,8
犯罪,3,3,0,11,2,2,1
冒险,1,0,0,4,2,10,3
爱情,5,1,0,11,1,1,1
科幻,7,0,0,5,1,1,1
恐怖,6,0,0,0,0,2,5
悬疑,2,3,0,0,0,2,5
西部,1,0,0,0,1,10,0
奇幻,4,0,0,0,3,0,4
历史,0,0,0,0,2,1,6
纪录,0,0,0,4,0,0,0
家庭,3,0,0,0,0,0,0
战争,0,0,0,0,1,0,1
音乐,2,0,0,0,0,0,0
动画,1,0,0,0,0,0,0
