emotion,冒险,剧情,动作,动画,历史,喜剧,奇幻,家庭,恐怖,悬疑,惊悚,战争,爱情,犯罪,科幻,纪录,西部,音乐
快乐,15,56,22,1,6,32,11,3,13,12,12,1,9,11,11,0,12,2
惊讶,4,15,4,0,0,0,0,0,0,0,11,0,11,11,4,4,0,0
喜爱,1,4,1,0,2,1,0,0,0,0,2,1,0,0,0,0,0,0
恐惧,0,2,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
愤怒,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
